question,answer
"QUESTION: <p>Do we have to prove that 2 is a rational number or can we just state that?</p>
","ANSWER: You can just state it
"
"QUESTION: <p>Is it sufficient to disprove a universal property via a single counterexample? </p>
","ANSWER: <p>as mentioned in @156, one way of disproving a universal property is via counterexample</p>
"
"QUESTION: <p>Do we have to prove that an even number is always followed by an odd and vice versa?</p>
","ANSWER: <p>no</p>
"
"QUESTION: <p>Are the letters of the same kind in the word alfalfa distinguishable? As in, are each of the 3 a&#39;s distinct?</p>
","ANSWER: <p>no</p>
"
"QUESTION: 
","ANSWER: <p>yes</p>
"
"QUESTION: 
","ANSWER: <p>yes</p>
"
"QUESTION: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl7z0k627zdd6aj%2Fc9079e251667b51d1a980d39a3b88985017c0476299f72b6eeefecbe3001ae5d%2FScreen_Shot_2023-02-02_at_12.39.47_PM.png"" alt="""" width=""612"" height=""320"" /></p>
<p>Which sets are they referring to when they say the sets are pairwise disjoint? I thought if the sets were pairwise disjoint they could not have any elements in common.</p>
","ANSWER: <p>Each $$S_i$$ is <strong>a set of sets, </strong>and it is true that the $$S_i$$&#39;s are pairwise disjoint with respect to one another.</p>
<p></p>
<p>This is because, consider any two of these sets $$S_i$$ and $$S_j$$, for an arbitrary $$x \in S_i$$, we have $$|x| = i$$. However, we know that for any $$y \in S_j$$ we have $$|y| = j$$. So it always holds that $$x \notin S_j$$. This means that $$S_i \cap S_j = \emptyset$$ and thus are pairwise disjoint.</p>
"
"QUESTION: <p>Can the codomain have elements in it that don&#39;t correspond to any elements in the domain?</p>
","ANSWER: <p>yes!</p>
"
"QUESTION: <p>For 6b on HW 04, I basically gave away the solution at 1:06:00 in this video during class because I have seen this problem before:</p>
<p></p>
<p><a href=""https://upenn.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=a29c99cb-276a-481e-ac9e-af9b015741f9"" target=""_blank"" rel=""noopener noreferrer"">https://upenn.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=a29c99cb-276a-481e-ac9e-af9b015741f9</a></p>
<p></p>
<p>Is it okay if I use the exact same language I did in my explanation in class for my HW solution as long as I mention this portion of the lecture? I ask because someone else might recall this portion of the lecture and use the language I said in their solution, and that might come up as copying and disallowed collaboration if I don&#39;t clarify this.</p>
","ANSWER: <p>you can cite this lecture and timestamp in your solution (so it&#39;s fine to use the same language). Thanks for pointing this out!</p>
"
"QUESTION: <md>If $$x^2 = y^2$$ and $$x, y$$ are non-negative, do we have to justify why $$x = y$$?</md>
","ANSWER: <p>no</p>
"
"QUESTION: <p>Suppose that we have two different elements a and b.</p>
<p></p>
<p>Do I need to prove that n-(f(a))^2 is different from n-(f(b))^2 because (f(x))^2 is different for a and b, and n is the same?</p>
","ANSWER: <p>you should justify this (it could be a brief justification)</p>
"
"QUESTION: <p>Can we use the following statement without proving it?</p>
<p></p>
<p>Two diagonals within a quadrilateral intersect at one and only one point.</p>
","ANSWER: Yes
"
"QUESTION: <p>The question states to define the function g. What does it mean to define a function, since isn&#39;t it already defined as g(x) = n - f(x)^2?</p>
","ANSWER: <p>That sentence can be equivalently read as &#34;we define the function...&#34;. So you don&#39;t have to define anything really.</p>
"
"QUESTION: <p>For question 5, would proof by contradiction example suffice as a thorough enough response since we are essentially told to disprove a universal initial claim that a, b, and c are all prime? </p>
","ANSWER: <p>this is something we&#39;d like you to think about</p>
"
"QUESTION: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flcply0liip97hz%2F3870f54568e958c524b316045f6100520886275fe4ae547f66b1a750946cf534%2Fimage.png"" alt=""image.pngNaN"" />Why can&#39;t all three points have the same color by PHP?</p>
","ANSWER: <p>they could. But this would still imply that there are two points that are exactly one unit apart.</p>
"
"QUESTION: <p>can we assume that the output of f(x) is an integer?</p>
","ANSWER: <p>remember that the output resides in the codomain. What is the codomain of this problem? Does the codomain only have integers?</p>
"
"QUESTION: <p>can i say:</p>
<p>$f(x) = y &lt; x$ means $y \leq (x - 1)$ because the largest integer less than x is (x - 1).</p>
<p></p>
<p>or do i need more explanation?</p>
","ANSWER: <p>nah that&#39;s fine</p>
"
"QUESTION: 
","ANSWER: <p>In one sentence: Stars and bars is an <strong>application</strong> of simple combinations.</p>
<p></p>
<p>For more detail, with simple combinations, such as $$\binom{n}{r}$$, we are simply considering a set of $$n$$ distinct items and determining how many ways can we choose $$r$$ of these items. Equivalently, this counts the number of subsets of size $$r$$ from our original set.</p>
<p></p>
<p>Stars and bars can be thought of as a two step procedure. We see a direct correlation between distributing indistinguishable items to distinguishable containers with an arrangement of stars and bars. So to count the number of ways to distribute, we count the number of arrangements of stars and bars. Suppose we have $$n$$ stars and $$r-1$$ bars, then our procedure would begin by choosing $$n$$ locations to put the stars. Since the remaining open slots <strong>must</strong> be filled with bars, they can only be filled in one way. So by MR, you get the familiar equation for stars and bars which is $$\binom{n + r - 1}{n}$$, or equivalently, $$\binom{n+r-1}{r-1}$$</p>
"
"QUESTION: <p>If we do a proof by contradiction, do we need to explain that we learned in lecture that the statement $p \implies q$ is logically equivalent to the statement $(p \land \neg q) \implies F$. We have shown that $g(a) = g(b)$ and $a \neq b$ is false, and thus its logically equivalent statement is true: $g(a) = g(b) \implies a = b$.</p>
<p></p>
<p>or can we just go straight from $g(a) = g(b)$ and $a \neq b$ is false to saying that by contradiction we have shown that $g(a) = g(b) \implies a \neq b$.</p>
<p></p>
<p></p>
","ANSWER: <p>you don&#39;t need to explain how a proof by contradiction works. You can just provide the contradiction statement.</p>
"
"QUESTION: <p>For HW4 Q2a but also in general, if we are trying to use a formula provided in lecture or lecture videos, and we have sufficiently showed how the question is suitable for a certain formula, do we still have to derive the formula? Or, say the formula involved multiplication rule, do we still have to explicitly state that we used MR?</p>
","ANSWER: You can just use the formula without further justification 
"
"QUESTION: <p>Title</p>
","ANSWER: <p>no</p>
"
"QUESTION: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flcply0liip97hz%2Fb08d081906fa92676946a873adbd77d5f476933b365170aeebbb0554ce7eba47%2Fimage.png"" alt=""image.pngNaN"" /></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flcply0liip97hz%2Fda85adb5a0479f99d99983d1ada01ebd1910614ffaaf3ef98bb8fa83e141a6a2%2Fimage.png"" alt=""image.png"" /></p>
<p>When I write in latex here, it doesn&#39;t put the text on a new page and instead keeps on going down the bottom of the page. I&#39;m not sure what I&#39;ve done wrong in Latex.</p>
","ANSWER: <p>hmmmm has the template we provided compiled correctly?</p>
"
"QUESTION: <p>n/a I found a preview Piazza post</p>
","ANSWER: <p>resolved</p>
"
"QUESTION: 
","ANSWER: A one sentence justification would suffice
"
"QUESTION: 
","ANSWER: Yes
"
"QUESTION: <p>Can we write the combinatorial proof by stating a counting question with examples? Such as &#34;picking 2 people from the group that are not Mary and Sam&#34;? Or do we have to write them with other notations? Also, for the case above, do we have to write WLOG to show that it would be the same when picking 2 other ppl?</p>
","ANSWER: <p>yes to the first and second question. no to the third question. For the fourth question, it depends on what your counting question actually is, so you would have to think about this!</p>
"
"QUESTION: <p>Can we assume that all prime numbers besides 2 are odd?</p>
","ANSWER: You can justify this in one sentence
"
"QUESTION: <p>Do we have to prove the above</p>
","ANSWER: No
"
"QUESTION: <p>In ques5, can we assume that they are non-zero ??</p>
","ANSWER: <p>@465</p>
"
"QUESTION: <p dir=""ltr"">Do we need to prove that a prime number p is either odd or p=2?</p>
","ANSWER: <p>a one sentence justification would be nice</p>
"
"QUESTION: <md>Do we have to prove that if the difference between two primes is 1, they must be $$2$$ and $$3$$ or can we state this?</md>
","ANSWER: <p>a one sentence justification would be nice</p>
"
"QUESTION: <p>if a number is not an integer, it cannot be a prime number right?</p>
","ANSWER: @499
"
"QUESTION: <p>If we only know a,b,c are real numbers, does that mean we cannot use even/odd cases?</p>
","ANSWER: This is something you should think about
"
"QUESTION: 
","ANSWER: <p>you can assume this</p>
"
"QUESTION: <p>Do i need to prove that all prime numbers except 2 are odd?</p>
","ANSWER: <p>@496</p>
"
"QUESTION: <p></p>
<div style=""all:!important""></div>
<div style=""all:!important""></div>
<div style=""all:!important""></div>
<div style=""all:!important""></div>
<p></p>
<p></p>
","ANSWER: <p>no</p>
"
"QUESTION: <p>&#34;You can assume that no more than two lines intersect at the same point.&#34;</p>
<p></p>
<p>How can you assume this???? Will it not give you an incorrect answer ... consider the case of a polygon with 6 sides. 3 lines intersect in the center!</p>
","ANSWER: <p>see @453</p>
"
"QUESTION: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkedxgblvppr1vj%2Fd8c1468997974ba118e8979d69c8857620912ab0c58a5b2dfd21943f03a84d38%2Fimage.png"" alt=""image.png"" width=""448"" height=""91"" /></p>
<p>I can&#39;t find a way to put subscripts on the top and bottom. Is this okay?</p>
","ANSWER: <p>yeah that&#39;s fine</p>
"
"QUESTION: <p>Can I use the double factorial expression (Ex. 5!!) in my answers?</p>
","ANSWER: <p>I&#39;d avoid using it just because the notation isn&#39;t super common. But you could if you wanted to.</p>
"
"QUESTION: <p>When it states &#34;how many distinct functions are there&#34;, does that mean that the elements of A map to different elements of B? Thank you!</p>
","ANSWER: <p>Consider functions $$f: A \rightarrow B$$ and $$g: A \rightarrow B$$. We say that $$f$$ and $$g$$ are <strong>not distinct</strong> if $$\forall a \in A$$ we have $$f(a) = g(a)$$</p>
"
"QUESTION: <p>Can we just use this without proof now? </p>
","ANSWER: You should justify this briefly
"
"QUESTION: <p>The question says we can assume that no more than 2 lines intersect at the same point. However, if n = 6 for example, there would be more than 2 lines intersecting in the center.</p>
<p></p>
<p>Does the question mean we just shouldn&#39;t subtract out when multiple lines intersect at the same point? i.e. we would count 15 intersections for n = 6?</p>
","ANSWER: @453
"
"QUESTION: <p>For proving something is injective when we do two arbitrary elements x1 and x2, then are we assuming these are different values? or can they be same? because in recitation slide, we ultimately arrive that x1=x2<img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkti3t09obod6sm%2F07758b89ceabd61b738092273d10535f65149a72095910c43192507e5da2de17%2FScreen_Shot_2023-02-07_at_5.15.09_PM.png"" alt=""Screen_Shot_2023-02-07_at_5.15.09_PM.png"" /></p>
<p></p>
","ANSWER: They are arbitrary, so they could be the same our different. It is our job when proving injectivity to show that there is an equality relationship
"
"QUESTION: <img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkxaroeu1gmk2e6%2F6ce6c306d7bcf0f9776175de015d1739673f7ca8943b6cddd5724d7f29897b1b%2FScreen_Shot_2023-02-07_at_5.36.48_PM.png"" alt=""Screen_Shot_2023-02-07_at_5.36.48_PM.pngNaN"" />
","ANSWER: <p>you can add \displaystyle before the \sum</p>
"
"QUESTION: <p>Can we assume that the only two positive prime integers that are 1 integer apart are 2 and 3?</p>
","ANSWER: <p>a brief justification would be nice</p>
"
"QUESTION: <p>Would something along the lines of.... what is the ratio of the amount of ways to do X and the amount of ways to do Y be valid? Or would this not be valid for this questions?</p>
","ANSWER: <p>This would not be considered a counting question.</p>
"
"QUESTION: <p>^^</p>
","ANSWER: <p>you should provide your answer as well as a corresponding justification/proof. How you choose to justify your solution or prove it is up to you.</p>
"
"QUESTION: <p>Can we use a double factorial to simplify our answer into closed form, or must we prove that we can use a double factorial in this case? (e.g. answer as (2n - 1) !! )?</p>
","ANSWER: <p>you don&#39;t need to prove usage of a double factorial</p>
"
"QUESTION: <p>Can we assume they don&#39;t eat a negative number of croissants?</p>
","ANSWER: <p>@440_f1</p>
"
"QUESTION: <p>Is this explanation sufficient for why any 4 vertices have 1 intersection point, or would I need to explain further?</p>
<p></p>
<p>&#34;If we choose 2 points that are adjacent to each other within the 4 points, the other 2 points will also be adjacent to each other within the 4 points, and the 2 lines that are created will intersect outside the shape.</p>
<p></p>
<p>The only way to create 2 lines that intersect within the shape is to choose 2 points that are opposite each other within the 4 points (there is 1 point between them on either side), because then their lines will cross each other at 1 intersection point.&#34;</p>
<p></p>
<p>Thank you!</p>
","ANSWER: <p>we cannot comment on the rigor of a solution</p>
"
"QUESTION: <p>If a number is clearly irrational, can I state that it is not prime because it is not an integer, or should I rigorously prove that the number is irrational and therefore not an integer?</p>
","ANSWER: <p>you can just state it</p>
"
"QUESTION: <p>Do I need to prove all of the following, or briefly explain them, or just state them: </p>
<p>1. A combination of 4 lines always creates an intersection.</p>
<p>2. For every combination of 4 lines, there is exactly 1 way to create that intersection.</p>
<p>3. Every combination of 4 lines creates a unique intersection, different from an intersection made by a different combination.</p>
","ANSWER: <p>a brief explanation for all would be good</p>
"
"QUESTION: <p>is it considered open form / a valid notation to use without proof?</p>
","ANSWER: <p>I&#39;d avoid using it just because the notation isn&#39;t super common. But you could if you wanted to.</p>
"
"QUESTION: <p>Do our solutions for LHS and RHS have to explicitly state that n&gt;=2 or can we make that evident in the counting problem statement?</p>
","ANSWER: <p>you can make it evident in the counting problem statement</p>
"
"QUESTION: Do we have to prove that the difference of integers is always an integer?
","ANSWER: <p>nah</p>
"
"QUESTION: <p>Can we assume that two unique diagonals within a convex polygon only intersect at one point?</p>
","ANSWER: <p>a brief justification would be nice</p>
"
"QUESTION: <p>Do we have to prove that all polygons produced from endpoints of a convex polygon are also convex?</p>
","ANSWER: A brief justification would be nice
"
"QUESTION: 
","ANSWER: <p>yes</p>
"
"QUESTION: <p></p>
<div style=""all:!important""></div>
<div style=""all:!important""></div>
<div style=""all:!important""></div>
<div style=""all:!important""></div>
<p></p>
<p></p>
","ANSWER: <p>nah</p>
"
"QUESTION: <p>If we have an arbitrary element X of the powerset (so X is a set), and we say let some arbitrary $a_1, a_2, ... a_n$ be the elements in X</p>
<p></p>
<p>should we say that they are arbitrary but particular elements?</p>
","ANSWER: <p>Read @319 and try to see if you can make the conclusion yourself! </p>
"
"QUESTION: <p>Therefore, we have $a^2 &#43; b^2 = 4$</p>
<p></p>
<p>There are no prime numbers a and b that satisfy this condition.</p>
","ANSWER: <p>yes</p>
"
"QUESTION: <p>Just noticed this mistake. Will it cost the entire 16 points?</p>
<p></p>
<p>As you can see it was meant to be 3 different lines but they all got together in the same line :((((</p>
<p></p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkzdl9xg7xwa3ak%2F4b1fca15395a7dd63cc14b1d60e5aa503dd68cd7a04c72d3c937b9fb238e0718%2Fimage.png"" alt=""image.png"" /></p>
","ANSWER: <p>you will not lose all 16 points. If I were to estimate, you may lose 0.5 points, as is our standard deduction for latex errors.</p>
"
"QUESTION: <img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkxaroeu1gmk2e6%2Ffd6135a84635b7f79f34bdf1cb8d16d4b0ececddde85ccca0ade50167722c092%2FScreen_Shot_2023-02-10_at_11.06.32_PM.png"" alt=""Screen_Shot_2023-02-10_at_11.06.32_PM.pngNaN"" />
",
"Why is the bottom r-n? isn&#39;t there only n-1 bars?
","ANSWER: <p>$$\binom{r-1}{r-n} = \binom{r-1}{n-1}$$</p>
"
"QUESTION: <p>So sorry if this is a bad question; I saw in @518 that the midterm will focus on Modules 1-5, but I was wondering if it will still include some principles of Module 6 we are learning, as I know we have had class/recitation on induction, and that it was noted that some HW05 concepts will be included. </p>
","ANSWER: <p>Since induction is in module 6, it will not appear on the midterm. But topics such as PIE/PHP that may occur on HW5 are still fair game for the midterm because they were in module 5</p>
"
"QUESTION: <p>Hi! I&#39;ve looked on Canvas where I accessed the HW but can&#39;t seem to find the solutions. Is it posted somewhere else on Canvas? Thanks!<img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flcply0liip97hz%2F1b01600fc726940540a9c93aa3ff8ec79e7aa56a3369571099f1ce75c60f48c2%2Fimage.png"" alt=""image.pngNaN"" /></p>
","ANSWER: <p>Canvas &gt; Assignments &gt; choose the Homework &gt; click solutions</p>
"
"QUESTION: <p>In 6a when we are providing an example, can we specify what k is, or does it remain arbitrary?</p>
","ANSWER: Remain arbitrary
"
"QUESTION: <p>For the example problem in 1.1 slide where we pick president, treasurer, secretary, since the steps are not independent, what would we write for the solution when multiplying each steps? Do we just state each steps and multiply them without stating we used a certain type of rule?</p>
","ANSWER: <p>you can state the steps and multiply them, but you should cite that you are using MR.</p>
"
"QUESTION: <p>I don&#39;t really understand what example 1,2  means - is there a more concrete explanation/example for this? Also, what is g(f) and h(f) for the question below?</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkedxgblvppr1vj%2F3e0c087d6ac9d5f44ba84ba756b03953c3c099173f7c5d1a9c50555a85258cb8%2Fimage.png"" alt=""image.pngNaN"" width=""547"" height=""256"" /></p>
<p></p>
","ANSWER: <p>g and h are examples of functions that have the domain $$B^A$$ and codomain $$2^C$$. So the domain of g and h are <strong><em>functions</em></strong> and the codomain of g and h are <strong>subsets of [1..n].</strong></p>
<p></p>
<p>A good question is what is the size of the domain? And what is the size of the codomain? </p>
<p></p>
<p>The domain has size $$n^n$$ and the codomain has size $$2^n$$. </p>
<p></p>
<p>To understand the function $$g$$, consider an arbitrary function $$\phi: [1..n] \rightarrow [1..n]$$. Note that $$\phi \in [1..n]^{[1..n]}$$, so it is in the domain. Note that $$\phi$$ takes as input $$x \in [1..n]$$ and outputs some $$y \in [1..n]$$. That is, $$\phi(x) = y$$ where $$x, y \in [1..n]$$.</p>
<p></p>
<p>When evaluating $$g(\phi)$$, we note that the mapping is defined by $$\{x | f(x) = 1\}$$ where $$x \in [1..n]$$. Therefore, the mapping is looking at all elements of $$[1..n]$$ such that when $$\phi$$ acts on that element, the output is $$1$$. These elements form a subset of $$[1..n]$$. How exciting! Let&#39;s call this subset $$A$$. That is, we have $$A \subseteq [1..n]$$ and $$\forall a \in A$$, we have $$\phi(a) = 1$$. </p>
<p></p>
<p>Then, $$g(\phi) = A$$.</p>
<p></p>
<p>For function $$h$$, we do something similar, but now $$h$$ maps $$\phi$$ to its range (which is also a subset of $$[1..n]$$). </p>
<p></p>
<p></p>
<p>For the last part of the question, we are given $$f$$ as the identity function. This means, $$\forall x \in [1..n]$$ we have $$f(x) = x$$. We want to compute $$g(f)$$. This is equivalent to asking: &#34;What is the set $$A \subseteq [1..n]$$ such that $$\forall a \in A$$ we have $$f(a) = 1$$?&#34;. Well, if $$f$$ is the identity, then it must be that $$A = \{1\}$$. Therefore, $$g(f) = \{1\}$$.</p>
<p></p>
<p>For $$h(f)$$ we ask ourselves, &#34;if $$f$$ is the identity function, what is $$Ran(f)$$?&#34;. Well, this is just $$[1..n]$$. So, we have $$h(f) = [1..n]$$</p>
"
"QUESTION: <p><a href=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fk9sryn4at7u4fo%2Fbf0cdc637d3b675e2091a5cc61f0d3c24562fd740b3d54a0e577540c7b5b26d2%2FScreen_Shot_2023-02-13_at_9.37.20_AM"">Screen_Shot_2023-02-13_at_9.37.20_AM</a></p>
<p></p>
<p>What is the set J? Is this the set that we&#39;re finding the intersections for when we&#39;re counting using PIE? Also, can you explain the RHS - why are we placing elements in the other n-k positions?</p>
","ANSWER: <p>J is just an arbitrary subset of $$[1..n]$$. It basically narrows down which values we are focusing on (of whether or not they are in the right position) in the permutation. </p>
<p></p>
<p>For the RHS, recall that elements of $$\bigcap_{j \in J} B_j$$ will be those permutations such that the elements of $$j$$ are in the right position. So we can compute the cardinality of this via a procedure where in the first step, we fix the elements of $$J$$ in their correct position (of which there are $$k$$ elements) and then we permute the remaining elements. The first step occurs in just 1 way, and the second step occurs in $$(n-k)!$$ ways.</p>
"
"QUESTION: <div>I wasn&#39;t sure if email or Piazza was a better channel to communicate this, but I take my accomodated exams with Weingarten and the testing center closes before 8pm, so I was wondering if I could get permission to take the exam at 4:00pm so I can take it before the center closes.</div>
<div></div>
<p></p>
","ANSWER: <p>Please email cis1600@seas with this information. </p>
"
"QUESTION: <p>I was doing some practice questions I found online and one was about proving that some set operations equaled the empty set.</p>
<p></p>
<p>In this class, we learned double inclusion to prove equality between two sets, but I figure you can&#39;t do that for empty sets because there is no abp element of an empty set.</p>
<p></p>
<p>So how would we approach proving this rigorously? Just show that the operations limit the scope of the set to nothing?</p>
","ANSWER: <p>I suppose you could do the normal double inclusion method. Suppose you were asked to prove $$LHS = \emptyset$$. You could go about showing $$LHS \subseteq \emptyset$$ by considering an arbitrary element of the LHS and reach some sort of verdict based on that. And then when you show $$\emptyset \subseteq LHS$$, you would not have to consider an arbitrary element, because $$\emptyset \subseteq A$$ for any set $$A$$. So this side would just follow as fact.</p>
"
"QUESTION: <p>title</p>
","ANSWER: <p>it is in module 6, so no.</p>
"
"QUESTION: <p>HW2 8a uses the binomial theorem in the solution. Have we covered this in lecture? If we need to use it, can we cite HW8?<a href=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fk9sryn4at7u4fo%2Fa0c83f79e71ab0c3cb2235fd064647fb49dbf799f4bda6db1962dbaff8cfa9ef%2FScreen_Shot_2023-02-14_at_11.04.11_AM"">Screen_Shot_2023-02-14_at_11.04.11_AM</a></p>
","ANSWER: <p>We have covered the binomial theorem in class. You can use binomial theorem without citation.</p>
"
"QUESTION: Is it fine to just cite “rules of thumb” when used on the midterm? Do we need to cite the specific rule number?<p></p>
","ANSWER: You don’t need to cite the specific number
"
"QUESTION: <p>For example, when we are proving sqrt 6 is irrational, when we assume that sqrt 6 = a/b, there is no mention about what a and b are (integers, etc) in the solution. If we state that a and b are integers where both are relatively prime and a is not 0, is this an acceptable way to write? Since sqrt 6 is positive, would it be wrong to write that a and b are integers because they can be negative?</p>
","ANSWER: <p>it is perfectly acceptable to write $$\sqrt{6} = \frac{a}{b}$$ where $$a, b \in \mathbb{Z}$$ and $$b \neq 0$$ and $$a, b$$ are relatively prime. </p>
<p></p>
<p>For your second question, no, it is not wrong. Recall that integers can be either positive or negative (except for 0 which is non-positive and non-negative). </p>
"
"QUESTION: <p>I feel that if P =&gt; Q, they both start out by using not Q anyway. Then, contrapositive goes to prove not P is true while the contradiction goes on to show that there is a conflict with P. Is this it?</p>
","ANSWER: <p>Contrapositive is proving $$\lnot q \implies \lnot p$$. Contradiction is proving $$p \land \lnot q \implies F$$</p>
"
"QUESTION: <p>Why is this solution&#39;s Step 2 &amp; Step 3 not overcounting? If we distribute 2 papers to the Head TAs and then use stars and bars for the remaining papers, couldn&#39;t the exact same arrangement occur if we had 2 different head TAs and did stars and bars, so the same arrangement is counted twice?</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flcslq4hc8982lu%2Fc3355164e6bb67aca4f55cfbc600781c01e13af2d157246d6c9b7251d171882f%2Fimage.png"" alt=""image.png"" /></p>
","ANSWER: <p>Not quite, because the papers are indistinguishable. Had they been distinguishable, then yes, this would overcount!</p>
"
"QUESTION: <p>I&#39;m confused why the solution says that &#34;Therefore B and C are not partners&#34; but has {B,C} as a partnership in the study quad?</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flcsbg530lhi7gv%2Fc77f7bb2460327765c04ec1e92f168a3028d07bc52284fd583d9b931b1ee5ee5%2FScreenshot_2023-02-14_at_11.50.39_PM.png"" alt=""Screenshot_2023-02-14_at_11.50.39_PM.pngNaN"" /></p>
","ANSWER: <p>The solution should be {{A, B}, {A, C}, {C, D}, {B, D}}</p>
"
"QUESTION: <p>For question 1, I was wondering where did the answer key prove that a &lt; b ? I understood why a can be greater than or equal to b, but I don&#39;t understand why a &lt; b. Did the answer key say that just for structural equality and will I get the answer right if I just say that a is greater than or equal to b?</p>
","ANSWER: <p>Just like the answer considered $$n = k+1$$ to show that $$a \geq b$$, they do a similar thing by considering when $$k = 1$$. In this case, we have $$a = 1$$ and $$b = n-1$$, so we have $$a \leq b$$. </p>
"
"QUESTION: 
","ANSWER: Either is fine
"
"QUESTION: <p>title</p>
","ANSWER: <p>Yes, everything in modules 1-5 (inclusive) is fair game.</p>
"
"QUESTION: <p>When a = 1, b = n - 1 = 1, so this case is when b=a, not when a &lt; b. I don&#39;t believe there is a case where a  &lt; b. Can we just read statements like these as b=a? Or, will points be taken off because we didn&#39;t put a is less than or equal to b? And in the case where points are taken off, is there an example where a &lt; b?</p>
","ANSWER: <p>When $$k = 1$$, we have $$a = 1$$ and $$b = n-1$$. But it is <strong>not </strong>the case that $$b = n-1 = 1$$. We can say that $$b = n - 1 \geq 1$$ because this comes from $$n \geq 2$$.</p>
<p></p>
<p>So for example, take $$k = 1$$ and $$n = 3$$ and we have $$a = 1$$ and $$b = 2$$ so we have a case where $$a < b$$.</p>
"
"QUESTION: <p>What&#39;s our definition of real numbers, natural numbers, and integers?</p>
","ANSWER: <p>$$\mathbb{N} = \{0, 1, 2, 3, ... \}$$. It is the set of all counting, whole numbers starting from 0.</p>
<p></p>
<p>$$\mathbb{Z} = \{... -2, -1, 0, 1, 2, ... \}$$. It is the set of all counting, whole numbers.</p>
<p></p>
<p>$$\mathbb{R}$$ contains all positive or negative whole numbers, fractions or decimals. </p>
<p></p>
<p>This yields the following relationships: $$\mathbb{N} \subseteq \mathbb{Z}$$, $$\mathbb{N} \subseteq \mathbb{R}$$, $$\mathbb{Z} \subseteq \mathbb{R}$$</p>
"
"QUESTION: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flcstk6jx4066h0%2Fd006370bb1e242778c12765646f9487ab7567c075c82a69b226344c1cbe98049%2FScreenshot_2023-02-15_at_5.03.00_PM"" width=""2562"" height=""200"" alt="""" />Would this be a valid alternate answer:</p>
<p>$$X = [2..n]$$</p>
<p>$$2\leq k \leq n$$</p>
<p>$$f(k) = k$$</p>
","ANSWER: <p>the function you have provided <strong>is</strong> injective </p>
"
"QUESTION: <p>Would assuming contrapositive also work for this problem? We rewrite it as if x &#43; y &#43; z is even, then z - x is divisible by 4, such that x &#43; 2y = z</p>
","ANSWER: <p>yep that would also work</p>
"
"QUESTION: <p>Are these two different definitions? If so, can you explain the difference?</p>
","ANSWER: <p>Two sets are said to be disjoint if they share no elements in common. That is, $$A$$ and $$B$$ are disjoint when $$A \cap B = \emptyset$$. The term &#34;pairwise disjoint&#34; has a definition that <strong>builds off</strong> the definition of &#34;disjoint&#34;. We say a <em>collection </em>of sets $$A_1, A_2, ..., A_n$$ are pairwise disjoint when $$\forall i, j$$, we have $$A_i \cap A_j = \emptyset$$.</p>
"
"QUESTION: <p>Is this something we have to prove? </p>
","ANSWER: <p>we&#39;ve proved in recitation that an irrational times a <strong>non-zero</strong> rational is irrational! So you can just cite this</p>
"
"QUESTION: <p>Do we need to memorize it for the exam or just understand how it relates to pascals triangle, etc?</p>
","ANSWER: Memorizing it will not hurt! Of course, knowing its relation to pascal’s is also good!
"
"QUESTION: <p>If we want the proof to hold for any 2 element we choose, is this the correct way to say it? Is it also ok to say pick some arbitrary element x1, x2?</p>
","ANSWER: Yes and yes
"
"QUESTION: <p>Do we need to show Y is a subset of X for this to be a valid proof (do we need the first paragraph of the solution)?</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flcsbg530lhi7gv%2Feac57b05a6958d65442f3264ad0b056adec48576fd723bb58beee1526e93696a%2FScreenshot_2023-02-16_at_12.50.40_PM.png"" alt=""Screenshot_2023-02-16_at_12.50.40_PM.pngNaN"" /></p>
","ANSWER: <p>Yes, you need to show that $$Y \subseteq X$$. Recall that $$Y \subsetneq X$$ means that $$Y$$ is a <strong>proper</strong> subset of $$X$$, meaning that it is a subset of $$X$$, but it is not equal to $$X$$.</p>
"
"QUESTION: <p>Will there be recitation on March 2nd and March 3rd?</p>
","ANSWER: <p>we&#39;ll make an announcement of this soon.</p>
"
